calendar_start_date,iso_year,iso_week,dengue_total,tmin,tmax,rh
2017-03-05,2017,9,830.0,24.195714133126398,27.76142910548619,86.6028571428571
2017-03-12,2017,10,1004.0,24.74285725184849,28.63285718645368,85.2314285714286
2017-03-19,2017,11,1149.0,24.58571434020996,28.22571427481515,85.4342857142857
2017-03-26,2017,12,1782.0,24.437143053327286,27.72571454729353,87.2942857142857
2017-04-02,2017,13,2203.0,24.474285670689174,28.09571375165667,87.1457142857143
2017-04-09,2017,14,2576.0,24.871429170881,29.41285705566406,82.5028571428571
2017-04-16,2017,15,2039.0,24.542857033865797,28.70857102530343,85.1685714285714
2017-04-23,2017,16,1922.0,25.2214287349156,29.61285727364676,81.3328571428571
2017-04-30,2017,17,966.0,24.961428778512136,29.0,83.4957142857143
2017-05-07,2017,18,901.0,24.825714111328125,29.42714282444545,80.1728571428571
2017-05-14,2017,19,727.0,25.145714351109092,29.24857139587402,82.57
2017-05-21,2017,20,445.0,25.411428724016464,29.47714287894113,82.1528571428571
2017-05-28,2017,21,375.0,24.777143205915177,29.75428553989955,79.6928571428572
2017-06-04,2017,22,284.0,24.31857109069824,28.46999985831124,84.9528571428571
2017-06-11,2017,23,162.0,24.524285725184846,29.44285692487444,75.5
2017-06-18,2017,24,138.0,24.510000228881836,29.95000049046108,74.7928571428571
2017-06-25,2017,25,120.0,24.754285267421174,29.6014289855957,73.7028571428571
2017-07-02,2017,26,99.0,24.602857044764928,28.99999972752162,74.6971428571429
2017-07-09,2017,27,99.0,23.437142780848912,29.13714272635324,71.7985714285714
2017-07-16,2017,28,110.0,23.504285539899552,29.3757141658238,66.9342857142857
2017-07-23,2017,29,123.0,23.478571483067103,29.45428575788225,69.6814285714286
2017-07-30,2017,30,83.0,23.371428625924246,29.87142835344587,67.9057142857143
2017-08-06,2017,31,74.0,23.838571275983536,30.37000002179827,67.75
2017-08-13,2017,32,67.0,24.232857022966655,30.83285713195801,65.8971428571429
2017-08-20,2017,33,56.0,24.262857164655408,30.82999992370605,69.8114285714286
2017-08-27,2017,34,46.0,24.5771427154541,31.01428576878139,66.47
2017-09-03,2017,35,38.0,24.490000316074916,31.35857118879046,65.5785714285714
2017-09-10,2017,36,37.0,24.394286019461497,31.06571415492467,64.0357142857143
2017-09-17,2017,37,33.0,24.5014283316476,31.43571472167969,62.5842857142857
2017-09-24,2017,38,26.0,24.414285932268417,31.42857142857143,64.6057142857143
2017-10-01,2017,39,34.0,24.545714242117743,31.16142872401646,65.7557142857143
2017-10-08,2017,40,24.0,24.59857150486537,31.32857159205846,66.6514285714286
2017-10-15,2017,41,16.0,24.779999869210375,30.40000016348703,70.6757142857143
2017-10-22,2017,42,12.0,24.88714272635324,30.45714296613421,71.6528571428571
2017-10-29,2017,43,29.0,25.14428574698312,31.56428609575544,69.1771428571429
2017-11-05,2017,44,37.0,25.261428560529435,30.9028570992606,71.5928571428571
2017-11-12,2017,45,29.0,25.149999618530277,29.92142840794154,68.6271428571429
2017-11-19,2017,46,29.0,24.912856783185685,30.22142818995885,71.1542857142857
2017-11-26,2017,47,27.0,25.238571439470565,30.27285739353725,71.7342857142857
2017-12-03,2017,48,30.0,25.312857219151088,30.48285675048828,72.4985714285714
2017-12-10,2017,49,50.0,25.35571425301688,30.50714274815151,74.18
2017-12-17,2017,50,57.0,25.51571410042899,30.32285690307617,73.2128571428571
2017-12-24,2017,51,87.0,25.219999585832866,29.61142866952079,76.4314285714286
2017-12-31,2017,52,27.0,25.320000239780967,29.75714220319475,80.0357142857143
2018-01-07,2018,1,20.0,25.291249990463257,30.08500027656555,76.0975
2018-01-14,2018,2,29.0,24.835714612688335,29.44999994550432,76.6842857142857
2018-01-21,2018,3,27.0,24.79000009809221,30.16428565979004,76.5942857142857
2018-01-28,2018,4,39.0,24.437143053327286,28.9514285496303,81.5
2018-02-04,2018,5,40.0,24.928571428571427,28.86857141767229,82.2042857142857
2018-02-11,2018,6,44.0,24.65428570338658,28.26428631373814,85.2528571428571
2018-02-18,2018,7,44.0,23.152857099260604,26.93428584507533,88.16
2018-02-25,2018,8,56.0,23.469999858311244,28.07428550720215,87.3842857142857
2018-03-04,2018,9,47.0,24.12000002179827,28.11714281354632,85.7342857142857
2018-03-11,2018,10,63.0,24.7771429334368,28.79571451459612,84.8942857142857
2018-03-18,2018,11,69.0,25.169999803815568,29.13714272635324,83.2942857142857
2018-03-25,2018,12,88.0,25.2485716683524,29.31285721915109,80.73
2018-04-01,2018,13,108.0,24.252856935773572,28.52999986921038,85.0985714285714
2018-04-08,2018,14,132.0,24.372856957571848,28.8257143838065,85.1171428571429
2018-04-15,2018,15,96.0,23.63857133047921,28.2757146017892,86.2757142857143
2018-04-22,2018,16,60.0,24.022857121058877,28.73428589957101,83.9714285714286
